         8	    0.000004621
        16	    0.000005002
        32	    0.000004401
        64	    0.000004401
       128	    0.000004482
       256	    0.000004420
       512	    0.000004320
      1024	    0.000004478
      2048	    0.000006824
      4096	    0.000006762
      8192	    0.000006118
     16384	    0.000006537
     32768	    0.000007319
     65536	    0.000008922
    131072	    0.000014920
    262144	    0.000029302
    524288	    0.000050802
   1048576	    0.000095901
   2097152	    0.000184760
   4194304	    0.000365539
   8388608	    0.000722260
  16777216	    0.001556139
  33554432	    0.006146059
  67108864	    0.012304039
 134217728	    0.024543819
 268435456	    0.049146199
 536870912	    0.098674560
1073741824	    0.196065879
