         8	    0.000000751
        16	    0.000000780
        32	    0.000000870
        64	    0.000000880
       128	    0.000000889
       256	    0.000000889
       512	    0.000001020
      1024	    0.000001070
      2048	    0.000001290
      4096	    0.000001850
      8192	    0.000004349
     16384	    0.000005140
     32768	    0.000007219
     65536	    0.000012059
    131072	    0.000025420
    262144	    0.000046389
    524288	    0.000089030
   1048576	    0.000170872
   2097152	    0.000340340
   4194304	    0.000680740
   8388608	    0.001351922
  16777216	    0.002706392
  33554432	    0.005529501
  67108864	    0.011398869
 134217728	    0.022926240
 268435456	    0.046120222
 536870912	    0.092612469
1073741824	    0.185375190
