         8	    0.000000830
        16	    0.000001190
        32	    0.000000961
        64	    0.000001040
       128	    0.000001020
       256	    0.000001030
       512	    0.000001049
      1024	    0.000001230
      2048	    0.000001500
      4096	    0.000002079
      8192	    0.000004640
     16384	    0.000004880
     32768	    0.000007999
     65536	    0.000014238
    131072	    0.000028141
    262144	    0.000052359
    524288	    0.000098772
   1048576	    0.000187700
   2097152	    0.000352290
   4194304	    0.000695500
   8388608	    0.001383412
  16777216	    0.002753699
  33554432	    0.005577419
  67108864	    0.011388819
 134217728	    0.022970562
 268435456	    0.046347861
 536870912	    0.092638571
1073741824	    0.186002069
