         8	    0.000001838
        16	    0.000001850
        32	    0.000001750
        64	    0.000001900
       128	    0.000002310
       256	    0.000006042
       512	    0.000004041
      1024	    0.000011470
      2048	    0.000008500
      4096	    0.000007489
      8192	    0.000008509
     16384	    0.000010431
     32768	    0.000015490
     65536	    0.000018690
    131072	    0.000057921
    262144	    0.000056109
    524288	    0.000112190
   1048576	    0.000168478
   2097152	    0.000324168
   4194304	    0.000477982
   8388608	    0.001064250
  16777216	    0.002218349
  33554432	    0.004428630
  67108864	    0.009297080
 134217728	    0.018333111
 268435456	    0.036489758
 536870912	    0.073200679
1073741824	    0.146287968
